,Value,Weight,Solution
0,2957.0,1479.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 12]"
1,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
2,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
3,2889.0,1462.0,"[22, 40, 47, 14, 86, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 19]"
4,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
5,2890.0,1484.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 37]"
6,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
7,2872.0,1448.0,"[22, 40, 47, 14, 86, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 13]"
8,2843.0,1499.0,"[22, 40, 47, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 30]"
9,2837.0,1460.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 13]"
10,2945.0,1485.0,"[22, 40, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 4]"
11,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
12,2827.0,1487.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 53]"
13,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
14,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
15,2873.0,1500.0,"[22, 40, 47, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 5]"
16,2902.0,1477.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 65]"
17,2881.0,1478.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 12]"
18,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
19,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
20,2967.0,1488.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 85]"
21,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
22,2900.0,1500.0,"[22, 40, 47, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 10]"
23,2961.0,1474.0,"[22, 40, 47, 14, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 1]"
24,2970.0,1499.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 1]"
25,2970.0,1499.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 1]"
26,2970.0,1499.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 1]"
27,2970.0,1499.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 1]"
28,2939.0,1462.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 2]"
29,2963.0,1490.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 83]"
30,2963.0,1490.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 83]"
31,2963.0,1490.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 83]"
32,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
33,2864.0,1498.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 75]"
34,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
35,2904.0,1486.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 19]"
36,2890.0,1473.0,"[22, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 45]"
37,2890.0,1473.0,"[22, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 45]"
38,2898.0,1485.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58, 4]"
39,2883.0,1497.0,"[22, 40, 47, 14, 86, 88, 44, 48, 74, 84, 41, 99, 89, 35, 43, 67, 71, 72, 24, 69, 68, 52, 95, 38, 77, 11, 90, 36, 16, 26, 6, 27, 98, 20, 28, 7, 32, 46, 8, 31, 73, 54, 80, 82, 55, 60, 96, 9, 59, 34, 17, 62, 63, 66, 61, 39, 58]"
