,Value,Weight,Solution
0,3602.0,1426.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 9, 33, 41, 66, 11, 81, 60, 99, 59, 88, 90, 83, 51, 91, 92, 44, 48, 31, 39, 25, 14, 40, 56, 73, 78, 35, 10, 17, 16, 87, 79, 38, 70, 85, 21, 52, 94, 18, 72, 13, 32, 28, 63, 54, 55, 29, 61, 37, 71, 74, 19]"
1,3793.0,1500.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 66, 11, 60, 99, 59, 88, 90, 83, 51, 91, 44, 48, 31, 39, 14, 40, 56, 73, 78, 35, 10, 17, 87, 79, 38, 70, 85, 52, 94, 18, 13, 32, 28, 63, 54, 29, 61, 37, 71, 74, 19, 84, 80, 100, 50, 45, 4, 49, 92, 67]"
2,3820.0,1500.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 60, 99, 59, 88, 90, 83, 51, 91, 44, 48, 31, 39, 14, 40, 56, 73, 78, 35, 10, 17, 87, 79, 38, 70, 85, 52, 94, 18, 13, 32, 28, 63, 54, 29, 61, 37, 71, 74, 19, 84, 80, 100, 50, 45, 4, 49, 92, 67, 23]"
3,3830.0,1476.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 60, 99, 59, 88, 90, 83, 51, 91, 44, 48, 31, 39, 40, 56, 73, 78, 35, 10, 87, 79, 38, 70, 85, 52, 94, 18, 13, 32, 28, 63, 54, 29, 61, 37, 71, 74, 19, 84, 80, 100, 50, 45, 4, 49, 92, 67, 23, 21, 68]"
4,3922.0,1493.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 60, 99, 59, 88, 90, 83, 51, 91, 48, 31, 39, 40, 56, 73, 78, 35, 10, 87, 79, 38, 70, 85, 52, 94, 13, 32, 28, 63, 54, 29, 61, 37, 71, 74, 19, 84, 80, 100, 50, 45, 4, 49, 92, 67, 23, 21, 68, 9, 3]"
5,4087.0,1490.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 60, 59, 88, 90, 83, 51, 91, 48, 31, 40, 56, 73, 78, 35, 10, 79, 38, 70, 85, 52, 94, 13, 32, 28, 63, 54, 29, 61, 37, 71, 74, 19, 100, 50, 45, 4, 92, 67, 23, 21, 68, 9, 3, 93, 96, 22, 81, 84, 24]"
6,4138.0,1484.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 60, 59, 88, 90, 83, 51, 91, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 94, 13, 32, 28, 63, 54, 29, 37, 71, 74, 19, 100, 50, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 22, 81, 84, 24, 62, 55, 42]"
7,4154.0,1478.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 91, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 94, 13, 32, 28, 63, 54, 29, 37, 71, 74, 19, 100, 50, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 22, 81, 84, 24, 62, 55, 42, 39]"
8,4192.0,1434.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 91, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 94, 13, 32, 28, 63, 54, 29, 37, 71, 74, 19, 100, 50, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 22, 81, 84, 24, 62, 42, 77, 87]"
9,4215.0,1499.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 91, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 32, 28, 63, 54, 29, 37, 71, 74, 19, 100, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 22, 81, 84, 24, 62, 42, 77, 87, 14, 16, 75]"
